"","headline","snippet","date","text_clean","keyword","framing_label"
"40","Iran's Rouhani slams US 'economic terrorism' in clash with Trump ...","Sep 25, 2018 ... US President Donald Trump and his Iranian counterpart Hassan Rouhani clashed sharply at the UN General Assembly on Tuesday, with the former ...","Last update 25 Sep 2018","irans rouhani slams us economic terrorism clash trump sep us president donald trump iranian counterpart hassan rouhani clashed sharply un general assembly tuesday former ","Terrorism","Terrorism"
"41","US counter-terrorism abroad: Fighting terrorism or encouraging it ...","Jun 14, 2014 ... The United States needed to “shift our counter-terrorism strategy – drawing on the successes and shortcomings of our experience in Iraq and Afghanistan.","14 Jun 2014","us counterterrorism abroad fighting terrorism encouraging jun united states needed “shift counterterrorism strategy – drawing successes shortcomings experience iraq afghanistan","Terrorism","Terrorism"
"42","Trump is inciting domestic terrorism | Donald Trump | Al Jazeera","Dec 10, 2020 ... Trump's fantasy about “massive election fraud,” repeated by Republican lawmakers and amplified by right-wing media, is an incitement to violence ...","10 Dec 2020","trump inciting domestic terrorism donald trump al jazeera dec trumps fantasy “massive election fraud” repeated republican lawmakers amplified rightwing media incitement violence ","Terrorism","Terrorism"
"43","Hong Kong man accused of 'terrorism' under new Chinese law ...","Jul 3, 2020 ... Tong Ying-kit first person to face charges of inciting secession and 'terrorism' under national security law.","Last update 3 Jul 2020","hong kong man accused terrorism new chinese law jul tong yingkit first person face charges inciting secession terrorism national security law","Terrorism","Terrorism"
"44","Israeli minister dismisses US 'terror' label after deadly settler attack ...","Aug 8, 2023 ... In remarks to local media, Smotrich said: “I refuse to fund incitement and terrorism.” Source: Al Jazeera and news agencies. Related. Israel ...","Last update 8 Aug 2023","israeli minister dismisses us terror label deadly settler attack aug remarks local media smotrich said “ refuse fund incitement terrorism” source al jazeera news agencies related israel ","Terrorism","Terrorism"
"45","Redefining 'terrorism' in America | Islamophobia | Al Jazeera","Aug 21, 2019 ... The American nation seems to be edging closer to the full recognition that the terror of its own racist white supremacy is far more serious.","Last update 21 Aug 2019","redefining terrorism america islamophobia al jazeera aug american nation seems edging closer full recognition terror racist white supremacy far seri","Terrorism","Terrorism"
"46","Iran FM Zarif: US sanctions are 'economic terrorism' | Nuclear ...","May 4, 2019 ... Iran FM Zarif: US sanctions are 'economic terrorism'. Iran's foreign minister discusses US sanctions, foreign intervention in the region, and ...","4 May 2019","iran fm zarif us sanctions economic terrorism nuclear may iran fm zarif us sanctions economic terrorism irans foreign minister discusses us sanctions foreign intervention region  ","Terrorism","Terrorism"
"47","Iran sanctions 24 US officials over 'terrorism' and rights abuses ...","Apr 9, 2022 ... Iran has added 24 United States officials and people to its blacklist of sanctioned individuals over charges of “terrorism” and violations of human rights.","9 Apr 2022","iran sanctions us officials terrorism rights abuses apr iran added united states officials people blacklist sanctioned individuals charges “terrorism” violations human right","Terrorism","Terrorism"
"48","Emmanuel Macron visits French troops in northern Mali | News | Al ...","May 19, 2017 ... He was met by Malian President Ibrahim Boubacar Keita with whom he held talks on the fight against “terrorism”. ... terrorist groups” in the ...","19 May 2017","emmanuel macron visits french troops northern mali news al may met malian president ibrahim boubacar keita held talks fight “terrorism” terrorist groups”  ","Terrorism","Terrorism"
"49","UN: defining terrorism | Features | Al Jazeera","Nov 24, 2010 ... UN: defining terrorism. The UN remains unable to draw a distinction between “freedom fighters” and “state sponsored terrorism”. Depicting ...","24 Nov 2010","un defining terrorism features al jazeera nov un defining terrorism un remains unable draw distinction “freedom fighters” “state sponsored terrorism” depicting ","Terrorism","Freedom_Fighter"
"50","Venezuela arrests Freddy Guevara for 'terrorism, treason' | Nicolas ...","Jul 12, 2021 ... Venezuela arrests Freddy Guevara for 'terrorism, treason'. Arrest came as unidentified armed men threatened opposition leader Juan Guaido in the ...","13 Jul 2021","venezuela arrests freddy guevara terrorism treason nicolas jul venezuela arrests freddy guevara terrorism treason arrest came unidentified armed men threatened opposition leader juan guaido  ","Terrorism","Terrorism"
"51","Israeli forces say will clamp down on settler 'terrorism' | Israel ...","Jun 25, 2023 ... Israeli security chiefs have deemed a string of settler attacks on Palestinian villages in the past week as “nationalist terrorism”, drawing ire ...","Last update 25 Jun 2023","israeli forces say will clamp settler terrorism israel jun israeli security chiefs deemed string settler attacks palestinian villages past week “nationalist terrorism” drawing ire ","Terrorism","Terrorism"
"52","When Britain feared Zionist terrorism | News | Al Jazeera","May 21, 2003 ... Internal MI5 security service documents released today show that London feared Zionists were planning to set up assassination and sabotage cells ...","21 May 2003"," britain feared zionist terrorism news al jazeera may internal mi security service documents released today show london feared zionists planning set assassination sabotage cells ","Terrorism","Terrorism"
"53","Saudi Arabia forms Muslim 'anti-terrorism' coalition | ISIL/ISIS News ...","Dec 15, 2015 ... Saudi Arabia has formed a coalition of 34 mainly Muslim countries – including powers such as Egypt and Turkey – to coordinate a fight against “ ...","15 Dec 2015","saudi arabia forms muslim antiterrorism coalition isilisis news dec saudi arabia formed coalition mainly muslim countries – including powers egypt turkey – coordinate fight “ ","Terrorism","Terrorism"
"54","Official says Egypt in war against terrorism | News | Al Jazeera","Aug 17, 2013 ... Presidential adviser labels anti-coup protesters as extremists who are escalating violence to a “terrorist war”.","17 Aug 2013","official says egypt war terrorism news al jazeera aug presidential adviser labels anticoup protesters extremists escalating violence “terrorist war”","Terrorism","Terrorism"
"55","China ups rhetoric, warns of signs of 'terrorism' in HK protests | Hong ...","Aug 12, 2019 ... China has ratcheted up its rhetoric towards Hong Kong's months-long protest movement, warning that violent anti-government demonstrations were ...","Last update 12 Aug 2019","china ups rhetoric warns signs terrorism hk protests hong aug china ratcheted rhetoric towards hong kongs monthslong protest movement warning violent antigovernment demonstrations  ","Terrorism","Terrorism"
