headline,link,date,snippet,keyword
Saudi accused of rights abuses in Yemen civilian deaths | News | Al ...,https://www.aljazeera.com/news/2018/1/14/saudi-accused-of-rights-abuses-in-yemen-civilian-deaths,14 Jan 2018,"Jan 14, 2018 ... A UN report on human rights abuses related to foreign intervention in Yemen details the extensive civilian casualties inflicted by the Saudi-led ...",Civilian casualties
Ukraine death toll: What we know so far | Russia-Ukraine war News ...,https://www.aljazeera.com/news/2022/2/24/russia-ukraine-invasion-casualties-death-toll,Last update 28 Feb 2022,"Feb 24, 2022 ... The Ukrainian civilian casualties included three people who were killed on Thursday in the eastern port city of Mariupol, according to its ...",Civilian casualties
NZ army misled public over civilian deaths in 2010 Afghan raid ...,https://www.aljazeera.com/news/2020/7/31/nz-army-misled-public-over-civilian-deaths-in-2010-afghan-raid,Last update 31 Jul 2020,"Jul 31, 2020 ... ... civilian casualties in a special forces raid in Afghanistan 10 years ago. Operation Burnham was carried out by New Zealand Defence Force ...",Civilian casualties
"Nearly 6,000 civilian casualties in Afghanistan so far this year ...",https://www.aljazeera.com/news/2020/10/27/violence-continue-in-afghanistan-even-as-peace-talks-began-un,27 Oct 2020,"Oct 27, 2020 ... Nearly 6,000 Afghan civilians were killed or wounded in the first nine months of the year as heavy fighting between government forces and ...",Civilian casualties
Children 25% of civilian casualties in Yemen: Relief agency ...,https://www.aljazeera.com/news/2021/3/23/children-25-of-civilian-casualties-in-yemen-relief-agency,23 Mar 2021,"Mar 23, 2021 ... Children 25% of civilian casualties in Yemen: Relief agency. More than 2,300 children were killed between 2018 and 2020, Save the Children says ...",Civilian casualties
US watchdog report cites civilian casualties in Saudi arms deal ...,https://www.aljazeera.com/news/2020/8/11/us-watchdog-report-cites-civilian-casualties-in-saudi-arms-deal,Last update 11 Aug 2020,"Aug 11, 2020 ... The United States State Department's Office of the Inspector General (OIG) has found the administration of President Donald Trump skirted laws ...",Civilian casualties
UN: 'Staggering' civilian deaths in Raqqa offensive | ISIL/ISIS News ...,https://www.aljazeera.com/news/2017/6/14/un-staggering-civilian-deaths-in-raqqa-offensive,14 Jun 2017,"Paulo Pinheiro, head of a UN probe, expressed concern at the Human Rights Council over the civilian death toll [File: Reuters] ... Pinheiro did not provide ...",Civilian casualties
At least nine killed in drone attack on hospital in Sudan's Darfur ...,https://www.aljazeera.com/news/2024/12/14/at-least-nine-killed-20-injured-in-sudan-hospital-attack,Last update 14 Dec 2024,"Dec 14, 2024 ... The mounting civilian casualties come amid continuing clashes across the country between the Sudanese army and RSF. On Tuesday, the RSF ...",Civilian casualties
Air raids target capital of Ethiopia's Tigray; 3 civilians dead | Conflict ...,https://www.aljazeera.com/news/2021/10/18/air-strikes-hit-capital-of-ethiopias-tigray-regional-media,Last update 20 Oct 2021,"Oct 18, 2021 ... ... civilian casualties during the air strikes were done successfully”. UN chief Antonio Guterres was “deeply concerned” about the escalation of ...",Civilian casualties
Israel's war on Gaza updates: Another deadly strike on a UN school ...,https://www.aljazeera.com/news/liveblog/2024/7/14/israels-war-on-gaza-live-many-still-missing-after-al-mawasi-massacre,Last update 15 Jul 2024,"Jul 14, 2024 ... ... civilian casualties in 24 hours. At least 16 Palestinians are killed in northern Gaza City and another six in southern Rafah as Israeli ...",Civilian casualties
"Israel bombs Lebanon updates: Death toll rises to 492, over 1,500 ...",https://www.aljazeera.com/news/liveblog/2024/9/23/israel-hezbollah-conflict-live-new-air-strikes-target-lebanon,Last update 21 Feb 2025,"Sep 23, 2024 ... The United Nations Interim Force in Lebanon (UNIFIL) has expressed “grave concern” for the wellbeing and safety of civilians residing in ...",Civilian casualties
US officials renew calls for Israel to reduce civilian casualties in ...,https://www.aljazeera.com/news/2024/1/8/us-officials-renew-calls-for-israel-to-reduce-civilian-casualties-in-gaza,8 Jan 2024,"Jan 8, 2024 ... US officials renew calls for Israel to reduce civilian casualties in Gaza. Palestinian Health Ministry says 249 people killed and 510 wounded in ...",Civilian casualties
"Official: Chechen wars killed 300,000 | News | Al Jazeera",https://www.aljazeera.com/news/2005/6/26/official-chechen-wars-killed-300000,26 Jun 2005,"Jun 26, 2005 ... The Russian government has not revealed any casualties among civilians in Chechnya during the two wars in the region since 1994. Casualty ...",Civilian casualties
Afghanistan: Civilian Loss in the US Air War | Conflict | Al Jazeera,https://www.aljazeera.com/program/fault-lines/2020/6/3/afghanistan-civilian-loss-in-the-us-air-war,3 Jun 2020,"Jun 3, 2020 ... Civilian casualties investigated amid a surging air campaign as US prepares for possible withdrawal from Afghanistan.",Civilian casualties
"Afghanistan: Surge in civilian, children death tolls | United Nations ...",https://www.aljazeera.com/news/2016/7/25/afghanistan-surge-in-civilian-children-death-tolls,25 Jul 2016,"Jul 25, 2016 ... Civilian casualties touched a record high in the first half of 2016, with 388 children killed and 1121 wounded.",Civilian casualties
Key facts about the war in Yemen | Houthis News | Al Jazeera,https://www.aljazeera.com/news/2018/3/25/key-facts-about-the-war-in-yemen,25 Mar 2018,"Mar 25, 2018 ... Civilian casualties in Yemen are high. ... As of March 26, 2018, at least 10,000 Yemenis had been killed by the fighting, with more than 40,000 ...",Civilian casualties
Israel criticised over civilian casualties | News | Al Jazeera,https://www.aljazeera.com/news/2005/6/22/israel-criticised-over-civilian-casualties,22 Jun 2005,"Jun 22, 2005 ... Israel criticised over civilian casualties. The Palestinian Authority has welcomed a report by Human Rights Watch that accuses the Israeli ...",Civilian casualties
Drone deaths rise in Afghanistan and Yemen | Humanitarian Crises ...,https://www.aljazeera.com/news/2014/3/12/drone-deaths-rise-in-afghanistan-and-yemen,12 Mar 2014,"Mar 12, 2014 ... UN report says civilian deaths in 2013 increase in two nations, but no evidence of any similar casualty in Pakistan.",Civilian casualties
What's behind Antony Blinken's call for 'humanitarian pauses' in ...,https://www.aljazeera.com/news/2023/11/4/whats-behind-antony-blinkens-call-for-humanitarian-pauses-in-gaza,Last update 4 Nov 2023,"Nov 4, 2023 ... ... civilians fleeing to safety. ... US Secretary of State Antony Blinken says he discussed need to avoid civilian casualties with Israeli leader ...",Civilian casualties
UN condemns jump in Afghan civilian deaths | News | Al Jazeera,https://www.aljazeera.com/news/2017/7/17/un-condemns-jump-in-afghan-civilian-deaths,17 Jul 2017,"Jul 17, 2017 ... ... civilian casualties in the war-torn country since 2009. At least 40 percent of all civilian casualties were caused by anti-government forces ...",Civilian casualties
Ukraine latest updates: 50 more civilians rescued from Azovstal ...,https://www.aljazeera.com/news/2022/5/5/un-chief-warns-of-limitless-harm-from-ukraine-war-liveblog,Last update 6 May 2022,"May 6, 2022 ... The UN's top human rights official has said the UN has recorded 6,731 civilian casualties in Ukraine since the war began. “It pains me to ...",Civilian casualties
US military admits killing 23 civilians around the world in 2020 ...,https://www.aljazeera.com/news/2021/6/3/us-military-admits-killing-23-civilians-around-the-world-in-2020,Last update 3 Jun 2021,"Jun 3, 2021 ... The NGO Airwars, which lists civilian victims of air attacks, said that their most conservative estimates show that 102 civilians were killed in ...",Civilian casualties
